company_name,category,website,email,all_emails,phone,address,linkedin,facebook,instagram,rating,review_count,company_size,hourly_rate,min_project,search_query,profile_url,source,engine,email_verified,score,tier,scraped_at,first_seen_at,last_seen_at,industry,tags,sub_industries,employee_count,firm_size_band,is_enterprise,tag_confidence,tag_source,region
Soho Dental,Dentist,https://sohodental.ca/,sortedmedia@gmail.com,sortedmedia@gmail.com; info@sohodental.ca; info@sohodentalbloor.ca,+1 416-340-7646,"147 Spadina Ave. Unit 104, Toronto, ON M5V 2L7, Canada",https://www.linkedin.com/company/soho-dental-toronto/,https://www.facebook.com/sohodental,https://instagram.com/sohodental_toronto,4.9,243,,,,Dentists in Toronto,https://www.google.com/maps/place/Soho+Dental/data=!4m7!3m6!1s0x882b34db9f9b5b1b:0x6444ab792d9aced2!8m2!3d43.647978!4d-79.39571!16s%2Fg%2F1tf2svzv!19sChIJG1ubn9s0K4gR0s6aLXmrRGQ?authuser=0&hl=en&rclk=1,google_maps,normal_scraper,alive,85,A,2026-08-19T20:16:28.709Z,,,healthcare,healthcare,,,,false,0.8999999999999999,rules,north-america
Spa Dental Sydney CBD,Dental clinic,https://www.spadentalsydneycbd.com.au/,info@spadental.com.au,info@spadental.com.au; info@spadentalsydneycbd.com.au,+61 2 9221 8348,"Ste 2 Level 4/64 Castlereagh St, Sydney NSW 2000, Australia",https://www.linkedin.com/company/spa-dental-sydney-cbd/about/,https://www.facebook.com/SpaDentalSydneyCBD/,https://www.instagram.com/spadentalsydney/,5.0,528,,,,Dentists in Sydney,https://www.google.com/maps/place/Spa+Dental+Sydney+CBD/data=!4m7!3m6!1s0x6b12ae40014051a7:0xac526fcd6266030!8m2!3d-33.8688151!4d151.209976!16s%2Fg%2F11csp8jxms!19sChIJp1FAAUCuEmsRMGAm1vwmxQo?authuser=0&hl=en&rclk=1,google_maps,normal_scraper,alive,85,A,2026-08-19T20:18:37.682Z,,,healthcare,healthcare; beauty-wellness,beauty-wellness,,,false,0.95,rules,apac-anz
"Njaga & Co. Advocates LLP Nairobi, Kenya",Law firm,https://njagaadvocates.com/,info@njagaadvocates.com,info@njagaadvocates.com; njagaadvocates@gmail.com,+254 701 635503,"Valley View Office Park, Block A, 6 Floor, Suite No. 25, Nairobi, Kenya",https://www.linkedin.com/company/njaga-co-advocates/,https://www.facebook.com/NjagaAdvocates,https://www.instagram.com/njagaadvocates/,4.9,338,,,,Law firms in Nairobi,"https://www.google.com/maps/place/Njaga+%26+Co.+Advocates+LLP+Nairobi,+Kenya/data=!4m7!3m6!1s0x182f118a05264dcd:0x24b3ac08bae62be6!8m2!3d-1.2579464!4d36.83017!16s%2Fg%2F11jvhdhkcl!19sChIJzU0mBYoRLxgR5ivmugissyQ?authuser=0&hl=en&rclk=1",google_maps,normal_scraper,alive,85,A,2026-08-19T20:24:16.164Z,,,professional-services,professional-services,,,,false,0.7,rules,africa
CHAMAN LAW FIRM,Law firm,https://www.chamanlawfirm.com/,info@chamanlawfirm.com,info@chamanlawfirm.com; chamanlawfirm@gmail.com,+234 806 555 3671,"115, Obafemi Awolowo Way, Allen, beside Lagos Airport Hotel, Ikeja, 100281, Lagos, Nigeria",https://www.linkedin.com/company/chaman-law-firm/,https://www.facebook.com/chamanlawfirm/,https://www.instagram.com/chamanlawfirm/,4.9,330,,,,Law firms in Lagos,https://www.google.com/maps/place/CHAMAN+LAW+FIRM/data=!4m7!3m6!1s0x103bc13aafcac41f:0x2c5e9f9679001e68!8m2!3d6.6064554!4d3.3481203!16s%2Fg%2F11h0b94b9y!19sChIJH8TKrzrBOxARaB4AeZafXiw?authuser=0&hl=en&rclk=1,google_maps,normal_scraper,alive,85,A,2026-08-19T20:26:20.492Z,,,professional-services,professional-services,,,,false,0.7,rules,africa
Nomos Legal Practice,Immigration attorney,http://nomoslegalpractice.com/,info@nomoslegalpractice.com,info@nomoslegalpractice.com; nomoslegalpractice@gmail.com,+234 806 809 5282,"Suite CA7, Club Arcade, beside TBS Banquet Hall, opposite Our Saviour's Anglican Church, Lagos Island, Lagos 102273, Lagos, Nigeria",https://www.linkedin.com/company/nomoslegalpractice/,https://web.facebook.com/nomoslegalpractice,,4.9,596,,,,Law firms in Lagos,https://www.google.com/maps/place/Nomos+Legal+Practice/data=!4m7!3m6!1s0x103b8b009bdbb07f:0xba134f78ebb2ab84!8m2!3d6.4470384!4d3.399682!16s%2Fg%2F11wc8543r3!19sChIJf7DbmwCLOxARhKuy63hPE7o?authuser=0&hl=en&rclk=1,google_maps,normal_scraper,alive,85,A,2026-08-19T20:26:20.492Z,,,professional-services,professional-services,,,,false,0.95,rules,africa
My Clinic Dental Center | عيادتي مركز طب الأسنان,Dental clinic,https://myclinic.com.sa/,info@myclinic.com.sa,info@myclinic.com.sa; you@email.com,+966 9200 29171,"Prince Sultan Rd, Al Khalidiyyah, Jeddah 23423, Saudi Arabia",https://www.linkedin.com/company/myclinicksa/,https://www.facebook.com/MyClinicKSA/,https://www.instagram.com/myclinicksa/,4.7,797,,,,Dentists in Jeddah,https://www.google.com/maps/place/My+Clinic+Dental+Center+%7C+%D8%B9%D9%8A%D8%A7%D8%AF%D8%AA%D9%8A+%D9%85%D8%B1%D9%83%D8%B2+%D8%B7%D8%A8+%D8%A7%D9%84%D8%A3%D8%B3%D9%86%D8%A7%D9%86%E2%80%AD/data=!4m7!3m6!1s0x15c3dbe2756d24cd:0x13d02a6dfba2b86!8m2!3d21.5640923!4d39.1426369!16s%2Fg%2F11sz19mxlx!19sChIJzSRtdeLbwxURhiu636YCPQE?authuser=0&hl=en&rclk=1,google_maps,normal_scraper,alive,85,A,2026-08-19T20:30:41.514Z,,,healthcare,healthcare,,,,false,0.95,rules,middle-east
المركز الاوروبي لطب الأسنان,Dental clinic,http://eurodentalcenter.com/,webmanger@eurodentalcenter.com,webmanger@eurodentalcenter.com; info@eurodentalcenter.com,+962 7 9737 7375,"مجمع الشانزيليزيه, Paris St., Amman, Jordan",https://www.linkedin.com/company/european-dental-center/,https://web.facebook.com/EDC.JO,https://www.instagram.com/edc.jo/,4.8,678,,,,Dentists in Amman,https://www.google.com/maps/place/%D8%A7%D9%84%D9%85%D8%B1%D9%83%D8%B2+%D8%A7%D9%84%D8%A7%D9%88%D8%B1%D9%88%D8%A8%D9%8A+%D9%84%D8%B7%D8%A8+%D8%A7%D9%84%D8%A3%D8%B3%D9%86%D8%A7%D9%86%E2%80%AD/data=!4m7!3m6!1s0x151ca10fe790e783:0x8e8500e7e7762c87!8m2!3d31.956572!4d35.859683!16s%2Fg%2F12qg2vzyc!19sChIJg-eQ5w-hHBURhyx25-cAhY4?authuser=0&hl=en&rclk=1,google_maps,normal_scraper,alive,85,A,2026-08-19T20:37:51.908Z,,,healthcare,healthcare,,,,false,0.95,rules,middle-east
Smilekraft Dental Clinic,Cosmetic dentist,https://smilekraftdc.in/,smilekraftcosmeticdental@gmail.com,smilekraftcosmeticdental@gmail.com; info@smilekraftdc.in,+91 88677 57004,"391, 18th E Main Rd, 6th Block, Koramangala, Bengaluru, Karnataka 560047, India",https://www.linkedin.com/in/smilekraft-dental-clinics-1b799435/,https://www.facebook.com/cosmeticdentistbangalore,https://www.instagram.com/smilekraftdc_blr/,4.9,810,,,,Dentists in Bangalore,https://www.google.com/maps/place/Smilekraft+Dental+Clinic/data=!4m7!3m6!1s0x3bae1688f20deb4f:0xb74c634845cc8b0b!8m2!3d12.941088!4d77.62348!16s%2Fg%2F1tkc0k9r!19sChIJT-sN8ogWrjsRC4vMRUhjTLc?authuser=0&hl=en&rclk=1,google_maps,normal_scraper,alive,85,A,2026-08-19T20:43:42.959Z,,,healthcare,healthcare; beauty-wellness,beauty-wellness,,,false,0.95,rules,south-asia
Dr.Mathesul Invisalign,Dental clinic,https://dentist-pune.com/,support@invisalign.org.in,support@invisalign.org.in; info@dentist-pune.com; dailydentist@gmail.com,+91 89831 01099,"1st Floor, F6, Gera's 77 Building Chowk, Pune - Nagar Rd, next to Punjab National Bank, Gera-77, Ramwadi, Kalyani Nagar, Pune, Maharashtra 411006, India",https://www.linkedin.com/in/dentistpuneorthodontistbraces,https://www.facebook.com/pune.dentist,https://www.instagram.com/invisalign_orthodontist_pune/,4.9,869,,,,Dentists in Pune,https://www.google.com/maps/place/Dr.Mathesul+Invisalign/data=!4m7!3m6!1s0x3bc2c1166369ef1f:0xb22be2551e15802e!8m2!3d18.5541487!4d73.9058447!16s%2Fg%2F1ptzxh21n!19sChIJH-9pYxbBwjsRLoAVHlXiK7I?authuser=0&hl=en&rclk=1,google_maps,normal_scraper,alive,85,A,2026-08-19T20:46:32.974Z,,,healthcare,healthcare,,,,false,0.95,rules,south-asia
Seaport Dental Associates Boston,Dentist,http://www.seaportdental.com/,info.milton@seaportdental.com,info.milton@seaportdental.com; michelle@seaportdental.com,(617) 737-6453,"451 D St #200, Boston, MA 02210",https://www.linkedin.com/company/seaport-dental-associates,https://www.facebook.com/seaportdentalassociates,https://www.instagram.com/seaportdental/,4.9,532,,,,Dentists in Boston,https://www.google.com/maps/place/Seaport+Dental+Associates+Boston/data=!4m7!3m6!1s0x89e37a83f1dbba67:0x59bad559aab9f6ee!8m2!3d42.3451947!4d-71.0418677!16s%2Fg%2F1td1k_n1!19sChIJZ7rb8YN644kR7va5qlnVulk?authuser=0&hl=en&rclk=1,google_maps,normal_scraper,alive,85,A,2026-08-19T21:09:16.901Z,,,healthcare,healthcare,,,,false,0.8999999999999999,rules,north-america
Zahnarztpraxis LORA Schwabing,Dentist,https://www.heylora.com/,support@heylora.com,support@heylora.com; schwabing@heylora.com,+49 89 158888990,"Trautenwolfstraße 8, 80802 München, Germany",https://www.linkedin.com/company/heylora,,https://www.instagram.com/heylora_dental/,4.8,528,,,,Dentists in Munich,https://www.google.com/maps/place/Zahnarztpraxis+LORA+Schwabing/data=!4m7!3m6!1s0x479e7540af9f5737:0x368c15adb95c2ee5!8m2!3d48.1575079!4d11.5865714!16s%2Fg%2F11smfwt9ct!19sChIJN1efr0B1nkcR5S5cua0VjDY?authuser=0&hl=en&rclk=1,google_maps,normal_scraper,alive,85,A,2026-08-19T21:14:48.091Z,,,healthcare,healthcare,,,,false,0.7,rules,europe
Isar Klinikum,Hospital,https://www.isarklinikum.de/,privacy@defiant.com,privacy@defiant.com; privacyquestions@cloudflare.com; dpo@wordpress.org,+49 89 1499039000,"Sonnenstraße 24, 80331 München-Ludwigsvorstadt-Isarvorstadt, Germany",https://www.linkedin.com/company/isarklinikum/,https://www.facebook.com/jobs.isarklinikum/,https://www.instagram.com/isar_klinikum/,4.7,490,,,,Hospitals in Munich,https://www.google.com/maps/place/Isar+Klinikum/data=!4m7!3m6!1s0x479ddf58cf71a9eb:0x2a514cd7157bbc7c!8m2!3d48.1347281!4d11.5650932!16s%2Fg%2F11bwh9wxmc!19sChIJ66lxz1jfnUcRfLx7FddMUSo?authuser=0&hl=en&rclk=1,google_maps,normal_scraper,alive,85,A,2026-08-19T21:15:11.958Z,,,healthcare,healthcare,,,,false,0.7,rules,europe
The Dental Clinic Dr. Saqib Minhas & Associates | Gulshan Branch | Best Dentist In Karachi,Dental clinic,https://thedentalclinic.com.pk/,info@thedentalclinic.com.pk,info@thedentalclinic.com.pk,+92 331 2048149,"13,14, 2nd Floor, Taj Clinics Building, Room # 10,11,12, Block 3 Gulshan-e-Iqbal, Karachi, 75300, Pakistan",https://www.linkedin.com/in/saqib-minhas-06828569/,https://www.facebook.com/DentistSaqibTDC,https://www.instagram.com/accounts/login/,4.7,235,,,,Dentists in Karachi,https://www.google.com/maps/place/The+Dental+Clinic+Dr.+Saqib+Minhas+%26+Associates+%7C+Gulshan+Branch+%7C+Best+Dentist+In+Karachi/data=!4m7!3m6!1s0x3eb338acf76e56b7:0x95dfc35e74284cd8!8m2!3d24.9251811!4d67.0913437!16s%2Fg%2F1vd6_t9x!19sChIJt1Zu96w4sz4R2EwodF7D35U?authuser=0&hl=en&rclk=1,google_maps,normal_scraper,alive,83,A,2026-08-19T19:27:24.389Z,,,healthcare,healthcare,,,,false,0.95,rules,south-asia
"AlKhaleej Smile Dental Clinic, Best Dentist in Karachi",Dental clinic,http://www.alkhaleejclinics.com/smile,info@alkhaleejclinics.com,info@alkhaleejclinics.com,+92 336 1176453,"First Floor, Al-Khaleej Tower, Shaheed-e-Millat Rd, near MediCare Hospital, Bahadurabad BMCHS Sharafabad, Karachi, 75400, Pakistan",https://pk.linkedin.com/company/alkhaleej-clinics,https://www.facebook.com/alkhaleejclinics,https://www.instagram.com/alkhaleejclinics.pk,4.8,730,,,,Dentists in Karachi,"https://www.google.com/maps/place/AlKhaleej+Smile+Dental+Clinic,+Best+Dentist+in+Karachi/data=!4m7!3m6!1s0x3eb33f7d99aa7de3:0x9f160c078b9685c1!8m2!3d24.8808836!4d67.0638195!16s%2Fg%2F11h1ywjj6p!19sChIJ432qmX0_sz4RwYWWiwcMFp8?authuser=0&hl=en&rclk=1",google_maps,normal_scraper,alive,83,A,2026-08-19T19:27:24.389Z,,,healthcare,healthcare,,,,false,0.95,rules,south-asia
Dental Avenue Hospital,Dental clinic,https://dentalavenue.pk/,dentalavenuehospital@gmail.com,dentalavenuehospital@gmail.com,+92 300 4380601,"Bahar Shah Rd, Cantt, Lahore, Pakistan",https://www.linkedin.com/company/dental-avenue-hospital/,https://www.facebook.com/share/18sZVzGBMA/,https://www.instagram.com/dentalavenuehospital,4.8,334,,,,Dentists in Lahore,https://www.google.com/maps/place/Dental+Avenue+Hospital/data=!4m7!3m6!1s0x39190581fec9fc51:0x34633cd5821d0850!8m2!3d31.5444083!4d74.4025076!16s%2Fg%2F11q3phvj1b!19sChIJUfzJ_oEFGTkRUAgdgtU8YzQ?authuser=0&hl=en&rclk=1,google_maps,normal_scraper,alive,83,A,2026-08-19T19:31:27.689Z,,,healthcare,healthcare,,,,false,0.95,rules,south-asia
Cantt Dental Care,Dentist,https://canttdentalcare.com/,canttdentalcare@gmail.com,canttdentalcare@gmail.com,+92 300 0321321,"488- A Zarrar Shaheed Rd, opp. Askari 9, Khyber Colony, Lahore, 54810, Pakistan",https://www.linkedin.com/in/cantt-dental-care-0610021b3,https://www.facebook.com/canttdentalcare,https://www.instagram.com/canttdentalcare/,5.0,733,,,,Dentists in Lahore,https://www.google.com/maps/place/Cantt+Dental+Care/data=!4m7!3m6!1s0x39190509c0a7204b:0x88cf62d0f9724e02!8m2!3d31.5496327!4d74.3896185!16s%2Fg%2F11h_42_wtk!19sChIJSyCnwAkFGTkRAk5y-dBiz4g?authuser=0&hl=en&rclk=1,google_maps,normal_scraper,alive,83,A,2026-08-19T19:31:27.689Z,,,healthcare,healthcare,,,,false,0.8999999999999999,rules,south-asia
General Practice Hospital,Hospital,https://generalpractice.com.pk/,info@generalpractice.com,info@generalpractice.com,+92 332 2474474,"Pakland Tower, 2 New, G 9/2 Blue Area, Islamabad, 44090, Pakistan",https://www.linkedin.com/company/general-practice-hospital/,https://www.facebook.com/share/172sNs4khs/,https://www.instagram.com/generalpracticeislamabad,4.7,578,,,,Hospitals in Islamabad,https://www.google.com/maps/place/General+Practice+Hospital/data=!4m7!3m6!1s0x38dfbf4da7176c71:0xe1512c7b11c15eef!8m2!3d33.6921789!4d73.0253757!16s%2Fg%2F11rl9kp0yv!19sChIJcWwXp02_3zgR717BEXssUeE?authuser=0&hl=en&rclk=1,google_maps,normal_scraper,alive,83,A,2026-08-19T19:36:15.597Z,,,healthcare,healthcare,,,,false,0.7,rules,south-asia
Dr. Paul's Dental Clinic Dubai,Dentist,https://www.drpaulsdentalclinic.com/,info@drpaulsme.com,info@drpaulsme.com,+971 4 357 5783,"Al Nasr Plaza - Office 101, 1st Floor, Offices Postal Box 50012 - Dubai - United Arab Emirates",https://www.linkedin.com/company/dr-paul's-dental-clinic/,https://www.facebook.com/drpaulsdentalclinic,https://www.instagram.com/drpaulsdentalclinicdxb/,4.8,494,,,,Dentists in Dubai,https://www.google.com/maps/place/Dr.+Paul%27s+Dental+Clinic+Dubai/data=!4m7!3m6!1s0x3e5f42d4a8b4ee15:0xdf756f70b64b449e!8m2!3d25.2436943!4d55.3134346!16s%2Fg%2F11b65j8wzy!19sChIJFe60qNRCXz4RnkRLtnBvdd8?authuser=0&hl=en&rclk=1,google_maps,normal_scraper,alive,83,A,2026-08-19T19:39:43.439Z,,,healthcare,healthcare,,,,false,0.95,rules,middle-east
Dentist Direct Dubai,Cosmetic dentist,https://www.dentistdirect.ae/,alwasl@thedentalstudio.ae,alwasl@thedentalstudio.ae,+971 4 455 9398,"Ground Floor, I Rise Tower - 23 Shop G - Al Thanyah First - Barsha Heights - Dubai - United Arab Emirates",https://in.linkedin.com/company/the-dental-studio-dubai,https://www.facebook.com/dentalstudiouae,https://www.instagram.com/thedentalstudio,4.9,366,,,,Dentists in Dubai,https://www.google.com/maps/place/Dentist+Direct+Dubai/data=!4m7!3m6!1s0x3e5f6b78665d53c3:0x891f9978d9e925c3!8m2!3d25.0972202!4d55.1807025!16s%2Fg%2F11bwnb3k3l!19sChIJw1NdZnhrXz4RwyXp2XiZH4k?authuser=0&hl=en&rclk=1,google_maps,normal_scraper,alive,83,A,2026-08-19T19:39:43.439Z,,,healthcare,healthcare; beauty-wellness,beauty-wellness,,,false,0.6,rules,middle-east
NOA Dental Clinic,Dentist,https://www.noadentalclinic.com/dubai-dentists.html,info@noadentalclinic.com,info@noadentalclinic.com,+971 4 398 7075,"Unit 109, Al Hanaa Centre Mall, Mankhool Road, Near World Trade Centre and - Jumeirah 1 - Dubai - United Arab Emirates",https://www.linkedin.com/company/noa-dental-clinic/about/,https://www.facebook.com/NOADentalClinicDubai,https://www.instagram.com/noadentalclinic.dubai/,4.9,375,,,,Dentists in Dubai,https://www.google.com/maps/place/NOA+Dental+Clinic/data=!4m7!3m6!1s0x3e5f433d425cb6a3:0x916e84b4f798171e!8m2!3d25.2367813!4d55.2800599!16s%2Fg%2F1vd74cwk!19sChIJo7ZcQj1DXz4RHheY97SEbpE?authuser=0&hl=en&rclk=1,google_maps,normal_scraper,alive,83,A,2026-08-19T19:39:43.439Z,,,healthcare,healthcare,,,,false,0.95,rules,middle-east
